jaar,gebiedcode15,variabele,waarde
2015,STAD,BBC_P,20
2005,STAD,BEV0_17,140615
2006,STAD,BEV0_17,139742
2007,STAD,BEV0_17,138806
2008,STAD,BEV0_17,138608
2009,STAD,BEV0_17,139281
2010,STAD,BEV0_17,141151
2011,STAD,BEV0_17,143022
2012,STAD,BEV0_17,144030
2013,STAD,BEV0_17,145663
2014,STAD,BEV0_17,147434
2015,STAD,BEV0_17,148574
2016,STAD,BEV0_17,148915
2017,STAD,BEV0_17,148853
2018,STAD,BEV0_17,148433
2005,STAD,BEV0_17_P,18.9
2006,STAD,BEV0_17_P,18.8
2007,STAD,BEV0_17_P,18.7
2008,STAD,BEV0_17_P,18.5
2009,STAD,BEV0_17_P,18.4
2010,STAD,BEV0_17_P,18.4
2011,STAD,BEV0_17_P,18.3
2012,STAD,BEV0_17_P,18.2
2013,STAD,BEV0_17_P,18.2
2014,STAD,BEV0_17_P,18.2
2015,STAD,BEV0_17_P,18.1
2016,STAD,BEV0_17_P,17.8
2017,STAD,BEV0_17_P,17.6
2018,STAD,BEV0_17_P,17.4
2019,STAD,BEV0_17_PROG2018,148378
2020,STAD,BEV0_17_PROG2018,148644
2021,STAD,BEV0_17_PROG2018,149012
2022,STAD,BEV0_17_PROG2018,149080
2023,STAD,BEV0_17_PROG2018,149190
2024,STAD,BEV0_17_PROG2018,149610
2025,STAD,BEV0_17_PROG2018,150080
2026,STAD,BEV0_17_PROG2018,150549
2027,STAD,BEV0_17_PROG2018,150901
2028,STAD,BEV0_17_PROG2018,151328
2029,STAD,BEV0_17_PROG2018,151726
2030,STAD,BEV0_17_PROG2018,152360
2031,STAD,BEV0_17_PROG2018,153233
2032,STAD,BEV0_17_PROG2018,154165
2033,STAD,BEV0_17_PROG2018,155199
2034,STAD,BEV0_17_PROG2018,156148
2035,STAD,BEV0_17_PROG2018,157114
2036,STAD,BEV0_17_PROG2018,158178
2037,STAD,BEV0_17_PROG2018,159287
2038,STAD,BEV0_17_PROG2018,160430
2039,STAD,BEV0_17_PROG2018,161483
2005,STAD,BEV0_18,148312
2006,STAD,BEV0_18,147420
2007,STAD,BEV0_18,146544
2008,STAD,BEV0_18,146366
2009,STAD,BEV0_18,147200
2010,STAD,BEV0_18,149131
2011,STAD,BEV0_18,151116
2012,STAD,BEV0_18,151897
2013,STAD,BEV0_18,153475
2014,STAD,BEV0_18,155000
2015,STAD,BEV0_18,156332
2016,STAD,BEV0_18,156763
2017,STAD,BEV0_18,156864
2018,STAD,BEV0_18,156633
2005,STAD,BEV0_18_P,20
2006,STAD,BEV0_18_P,19.8
2007,STAD,BEV0_18_P,19.7
2008,STAD,BEV0_18_P,19.6
2009,STAD,BEV0_18_P,19.5
2010,STAD,BEV0_18_P,19.4
2011,STAD,BEV0_18_P,19.4
2012,STAD,BEV0_18_P,19.2
2013,STAD,BEV0_18_P,19.2
2014,STAD,BEV0_18_P,19.1
2015,STAD,BEV0_18_P,19
2016,STAD,BEV0_18_P,18.8
2017,STAD,BEV0_18_P,18.6
2018,STAD,BEV0_18_P,18.3
2005,STAD,BEV0_3,38169
2006,STAD,BEV0_3,37740
2007,STAD,BEV0_3,37214
2008,STAD,BEV0_3,36944
2009,STAD,BEV0_3,37475
2010,STAD,BEV0_3,38559
2011,STAD,BEV0_3,39998
2012,STAD,BEV0_3,40597
2013,STAD,BEV0_3,40952
2014,STAD,BEV0_3,40764
2015,STAD,BEV0_3,39981
2016,STAD,BEV0_3,39303
2017,STAD,BEV0_3,38741
2018,STAD,BEV0_3,38279
2005,STAD,BEV0_3_P,5.1
2006,STAD,BEV0_3_P,5.1
2007,STAD,BEV0_3_P,5
2008,STAD,BEV0_3_P,4.9
2009,STAD,BEV0_3_P,5
2010,STAD,BEV0_3_P,5
2011,STAD,BEV0_3_P,5.1
2012,STAD,BEV0_3_P,5.1
2013,STAD,BEV0_3_P,5.1
2014,STAD,BEV0_3_P,5
2015,STAD,BEV0_3_P,4.9
2016,STAD,BEV0_3_P,4.7
2017,STAD,BEV0_3_P,4.6
2018,STAD,BEV0_3_P,4.5
2005,STAD,BEV0_4,46823
2006,STAD,BEV0_4,46266
2007,STAD,BEV0_4,45432
2008,STAD,BEV0_4,45288
2009,STAD,BEV0_4,45674
2010,STAD,BEV0_4,46980
2011,STAD,BEV0_4,48304
2012,STAD,BEV0_4,49151
2013,STAD,BEV0_4,49866
2014,STAD,BEV0_4,49949
2015,STAD,BEV0_4,49373
2016,STAD,BEV0_4,48309
2017,STAD,BEV0_4,47386
2018,STAD,BEV0_4,46618
2005,STAD,BEV100PLUS,67
2006,STAD,BEV100PLUS,58
2007,STAD,BEV100PLUS,56
2008,STAD,BEV100PLUS,74
2009,STAD,BEV100PLUS,61
2010,STAD,BEV100PLUS,72
2011,STAD,BEV100PLUS,77
2012,STAD,BEV100PLUS,90
2013,STAD,BEV100PLUS,93
2014,STAD,BEV100PLUS,88
2015,STAD,BEV100PLUS,89
2016,STAD,BEV100PLUS,89
2017,STAD,BEV100PLUS,88
2018,STAD,BEV100PLUS,83
2005,STAD,BEV10_14,35554
2006,STAD,BEV10_14,34533
2007,STAD,BEV10_14,34106
2008,STAD,BEV10_14,33852
2009,STAD,BEV10_14,34053
2010,STAD,BEV10_14,34407
2011,STAD,BEV10_14,35392
2012,STAD,BEV10_14,36011
2013,STAD,BEV10_14,36413
2014,STAD,BEV10_14,36827
2015,STAD,BEV10_14,37156
2016,STAD,BEV10_14,37365
2017,STAD,BEV10_14,37505
2018,STAD,BEV10_14,37810
2005,STAD,BEV12_17,42312
2006,STAD,BEV12_17,41998
2007,STAD,BEV12_17,41622
2008,STAD,BEV12_17,41132
2009,STAD,BEV12_17,40693
2010,STAD,BEV12_17,40718
2011,STAD,BEV12_17,40717
2012,STAD,BEV12_17,40771
2013,STAD,BEV12_17,41463
2014,STAD,BEV12_17,42419
2015,STAD,BEV12_17,43173
2016,STAD,BEV12_17,43799
2017,STAD,BEV12_17,44344
2018,STAD,BEV12_17,44958
2005,STAD,BEV13_17,35085
2006,STAD,BEV13_17,35104
2007,STAD,BEV13_17,34840
2008,STAD,BEV13_17,34618
2009,STAD,BEV13_17,33988
2010,STAD,BEV13_17,33781
2011,STAD,BEV13_17,33630
2012,STAD,BEV13_17,33631
2013,STAD,BEV13_17,34023
2014,STAD,BEV13_17,34991
2015,STAD,BEV13_17,35866
2016,STAD,BEV13_17,36301
2017,STAD,BEV13_17,36869
2018,STAD,BEV13_17,37333
2005,STAD,BEV15_19,37238
2006,STAD,BEV15_19,37748
2007,STAD,BEV15_19,37636
2008,STAD,BEV15_19,37894
2009,STAD,BEV15_19,37888
2010,STAD,BEV15_19,38220
2011,STAD,BEV15_19,37924
2012,STAD,BEV15_19,37452
2013,STAD,BEV15_19,37387
2014,STAD,BEV15_19,37704
2015,STAD,BEV15_19,38029
2016,STAD,BEV15_19,38863
2017,STAD,BEV15_19,39425
2018,STAD,BEV15_19,40134
2005,STAD,BEV15_26,113308
2006,STAD,BEV15_26,115993
2007,STAD,BEV15_26,118398
2008,STAD,BEV15_26,121582
2009,STAD,BEV15_26,124840
2010,STAD,BEV15_26,127318
2011,STAD,BEV15_26,131030
2012,STAD,BEV15_26,133005
2013,STAD,BEV15_26,134885
2014,STAD,BEV15_26,137045
2015,STAD,BEV15_26,139949
2016,STAD,BEV15_26,143608
2017,STAD,BEV15_26,146002
2018,STAD,BEV15_26,147029
2005,STAD,BEV17AUTO,49144
2006,STAD,BEV17AUTO,49200
2007,STAD,BEV17AUTO,49439
2008,STAD,BEV17AUTO,49716
2009,STAD,BEV17AUTO,50324
2010,STAD,BEV17AUTO,51631
2011,STAD,BEV17AUTO,53031
2012,STAD,BEV17AUTO,54326
2013,STAD,BEV17AUTO,55972
2014,STAD,BEV17AUTO,57799
2015,STAD,BEV17AUTO,58602
2016,STAD,BEV17AUTO,58946
2017,STAD,BEV17AUTO,59035
2018,STAD,BEV17AUTO,58855
2005,STAD,BEV17AUTO_P,34.9
2006,STAD,BEV17AUTO_P,35.2
2007,STAD,BEV17AUTO_P,35.6
2008,STAD,BEV17AUTO_P,35.9
2009,STAD,BEV17AUTO_P,36.1
2010,STAD,BEV17AUTO_P,36.6
2011,STAD,BEV17AUTO_P,37.1
2012,STAD,BEV17AUTO_P,37.7
2013,STAD,BEV17AUTO_P,38.4
2014,STAD,BEV17AUTO_P,39.2
2015,STAD,BEV17AUTO_P,39.4
2016,STAD,BEV17AUTO_P,39.6
2017,STAD,BEV17AUTO_P,39.7
2018,STAD,BEV17AUTO_P,39.7
2005,STAD,BEV17NW,78018
2006,STAD,BEV17NW,77073
2007,STAD,BEV17NW,75893
2008,STAD,BEV17NW,75031
2009,STAD,BEV17NW,74442
2010,STAD,BEV17NW,74274
2011,STAD,BEV17NW,73933
2012,STAD,BEV17NW,73007
2013,STAD,BEV17NW,72185
2014,STAD,BEV17NW,71408
2015,STAD,BEV17NW,70884
2016,STAD,BEV17NW,69970
2017,STAD,BEV17NW,69260
2018,STAD,BEV17NW,68299
2005,STAD,BEV17NW_P,55.5
2006,STAD,BEV17NW_P,55.2
2007,STAD,BEV17NW_P,54.7
2008,STAD,BEV17NW_P,54.1
2009,STAD,BEV17NW_P,53.4
2010,STAD,BEV17NW_P,52.6
2011,STAD,BEV17NW_P,51.7
2012,STAD,BEV17NW_P,50.7
2013,STAD,BEV17NW_P,49.6
2014,STAD,BEV17NW_P,48.4
2015,STAD,BEV17NW_P,47.7
2016,STAD,BEV17NW_P,47
2017,STAD,BEV17NW_P,46.5
2018,STAD,BEV17NW_P,46
2005,STAD,BEV17W,13453
2006,STAD,BEV17W,13469
2007,STAD,BEV17W,13474
2008,STAD,BEV17W,13861
2009,STAD,BEV17W,14515
2010,STAD,BEV17W,15246
2011,STAD,BEV17W,16058
2012,STAD,BEV17W,16697
2013,STAD,BEV17W,17506
2014,STAD,BEV17W,18227
2015,STAD,BEV17W,19088
2016,STAD,BEV17W,19999
2017,STAD,BEV17W,20558
2018,STAD,BEV17W,21279
2005,STAD,BEV17W_P,9.6
2006,STAD,BEV17W_P,9.6
2007,STAD,BEV17W_P,9.7
2008,STAD,BEV17W_P,10
2009,STAD,BEV17W_P,10.4
2010,STAD,BEV17W_P,10.8
2011,STAD,BEV17W_P,11.2
2012,STAD,BEV17W_P,11.6
2013,STAD,BEV17W_P,12
2014,STAD,BEV17W_P,12.4
2015,STAD,BEV17W_P,12.8
2016,STAD,BEV17W_P,13.4
2017,STAD,BEV17W_P,13.8
2018,STAD,BEV17W_P,14.3
2005,STAD,BEV18PLUS,602336
2006,STAD,BEV18PLUS,603285
2007,STAD,BEV18PLUS,604298
2008,STAD,BEV18PLUS,608682
2009,STAD,BEV18PLUS,617066
2010,STAD,BEV18PLUS,626622
2011,STAD,BEV18PLUS,637537
2012,STAD,BEV18PLUS,646014
2013,STAD,BEV18PLUS,653779
2014,STAD,BEV18PLUS,663751
2015,STAD,BEV18PLUS,673698
2016,STAD,BEV18PLUS,685798
2017,STAD,BEV18PLUS,696099
2018,STAD,BEV18PLUS,705883
2005,STAD,BEV18_22,45461
2006,STAD,BEV18_22,47149
2007,STAD,BEV18_22,48478
2008,STAD,BEV18_22,49816
2009,STAD,BEV18_22,51135
2010,STAD,BEV18_22,51921
2011,STAD,BEV18_22,53808
2012,STAD,BEV18_22,54421
2013,STAD,BEV18_22,54883
2014,STAD,BEV18_22,55035
2015,STAD,BEV18_22,55061
2016,STAD,BEV18_22,55227
2017,STAD,BEV18_22,54726
2018,STAD,BEV18_22,54363
2018,STAD,BEV18_22NL,21814
2018,STAD,BEV18_22NL_P,40
2018,STAD,BEV18_22NW,23292
2018,STAD,BEV18_22NW_P,43
2018,STAD,BEV18_22W,9257
2018,STAD,BEV18_22W_P,17
2011,STAD,BEV18_64,551437
2012,STAD,BEV18_64,556432
2013,STAD,BEV18_64,561158
2014,STAD,BEV18_64,568462
2015,STAD,BEV18_64,576164
2016,STAD,BEV18_64,585648
2017,STAD,BEV18_64,593556
2018,STAD,BEV18_64,600297
2019,STAD,BEV18_64_PROG2018,611506
2020,STAD,BEV18_64_PROG2018,621676
2021,STAD,BEV18_64_PROG2018,629273
2022,STAD,BEV18_64_PROG2018,633880
2023,STAD,BEV18_64_PROG2018,637438
2024,STAD,BEV18_64_PROG2018,642469
2025,STAD,BEV18_64_PROG2018,645400
2026,STAD,BEV18_64_PROG2018,647964
2027,STAD,BEV18_64_PROG2018,650767
2028,STAD,BEV18_64_PROG2018,653066
2029,STAD,BEV18_64_PROG2018,655570
2030,STAD,BEV18_64_PROG2018,656890
2031,STAD,BEV18_64_PROG2018,658697
2032,STAD,BEV18_64_PROG2018,659912
2033,STAD,BEV18_64_PROG2018,661101
2034,STAD,BEV18_64_PROG2018,660569
2035,STAD,BEV18_64_PROG2018,660161
2036,STAD,BEV18_64_PROG2018,659879
2037,STAD,BEV18_64_PROG2018,660834
2038,STAD,BEV18_64_PROG2018,662053
2039,STAD,BEV18_64_PROG2018,663729
2010,STAD,BEV1P65_79M,8910
2011,STAD,BEV1P65_79M,9242
2012,STAD,BEV1P65_79M,10120
2013,STAD,BEV1P65_79M,10914
2014,STAD,BEV1P65_79M,11600
2015,STAD,BEV1P65_79M,12339
2016,STAD,BEV1P65_79M,13164
2017,STAD,BEV1P65_79M,13837
2018,STAD,BEV1P65_79M,14614
2010,STAD,BEV1P65_79V,16655
2011,STAD,BEV1P65_79V,16790
2012,STAD,BEV1P65_79V,17544
2013,STAD,BEV1P65_79V,18291
2014,STAD,BEV1P65_79V,18970
2015,STAD,BEV1P65_79V,19614
2016,STAD,BEV1P65_79V,20418
2017,STAD,BEV1P65_79V,21054
2018,STAD,BEV1P65_79V,21849
2010,STAD,BEV1P80PLUS,13302
2011,STAD,BEV1P80PLUS,13227
2012,STAD,BEV1P80PLUS,13071
2013,STAD,BEV1P80PLUS,12947
2014,STAD,BEV1P80PLUS,12901
2015,STAD,BEV1P80PLUS,12887
2016,STAD,BEV1P80PLUS,13080
2017,STAD,BEV1P80PLUS,13120
2018,STAD,BEV1P80PLUS,13004
2010,STAD,BEV1P80PLUSM,2780
2011,STAD,BEV1P80PLUSM,2840
2012,STAD,BEV1P80PLUSM,2868
2013,STAD,BEV1P80PLUSM,2876
2014,STAD,BEV1P80PLUSM,2933
2015,STAD,BEV1P80PLUSM,2973
2016,STAD,BEV1P80PLUSM,3092
2017,STAD,BEV1P80PLUSM,3188
2018,STAD,BEV1P80PLUSM,3239
2010,STAD,BEV1P80PLUSV,10522
2011,STAD,BEV1P80PLUSV,10387
2012,STAD,BEV1P80PLUSV,10203
2013,STAD,BEV1P80PLUSV,10071
2014,STAD,BEV1P80PLUSV,9968
2015,STAD,BEV1P80PLUSV,9914
2016,STAD,BEV1P80PLUSV,9988
2017,STAD,BEV1P80PLUSV,9932
2018,STAD,BEV1P80PLUSV,9765
2010,STAD,BEV1P80PLUS_P,1.7
2011,STAD,BEV1P80PLUS_P,1.7
2012,STAD,BEV1P80PLUS_P,1.7
2013,STAD,BEV1P80PLUS_P,1.6
2014,STAD,BEV1P80PLUS_P,1.6
2015,STAD,BEV1P80PLUS_P,1.6
2016,STAD,BEV1P80PLUS_P,1.6
2017,STAD,BEV1P80PLUS_P,1.6
2018,STAD,BEV1P80PLUS_P,1.5
2005,STAD,BEV20_24,51278
2006,STAD,BEV20_24,53041
2007,STAD,BEV20_24,54629
2008,STAD,BEV20_24,56967
2009,STAD,BEV20_24,59394
2010,STAD,BEV20_24,60743
2011,STAD,BEV20_24,63433
2012,STAD,BEV20_24,64680
2013,STAD,BEV20_24,66091
2014,STAD,BEV20_24,67260
2015,STAD,BEV20_24,68515
2016,STAD,BEV20_24,69752
2017,STAD,BEV20_24,69821
2018,STAD,BEV20_24,69308
2005,STAD,BEV23_39,237106
2006,STAD,BEV23_39,233506
2007,STAD,BEV23_39,230776
2008,STAD,BEV23_39,231232
2009,STAD,BEV23_39,234588
2010,STAD,BEV23_39,237913
2011,STAD,BEV23_39,241431
2012,STAD,BEV23_39,244251
2013,STAD,BEV23_39,247287
2014,STAD,BEV23_39,252355
2015,STAD,BEV23_39,258050
2016,STAD,BEV23_39,266168
2017,STAD,BEV23_39,273606
2018,STAD,BEV23_39,279935
2018,STAD,BEV23_39NL,122620
2018,STAD,BEV23_39NL_P,44
2018,STAD,BEV23_39NW,94445
2018,STAD,BEV23_39NW_P,34
2018,STAD,BEV23_39W,62870
2018,STAD,BEV23_39W_P,22
2005,STAD,BEV25_29,67120
2006,STAD,BEV25_29,67168
2007,STAD,BEV25_29,67824
2008,STAD,BEV25_29,69237
2009,STAD,BEV25_29,71877
2010,STAD,BEV25_29,74305
2011,STAD,BEV25_29,75956
2012,STAD,BEV25_29,77803
2013,STAD,BEV25_29,79313
2014,STAD,BEV25_29,82027
2015,STAD,BEV25_29,85166
2016,STAD,BEV25_29,89072
2017,STAD,BEV25_29,92600
2018,STAD,BEV25_29,95793
2005,STAD,BEV30_34,77265
2006,STAD,BEV30_34,73736
2007,STAD,BEV30_34,71163
2008,STAD,BEV30_34,69730
2009,STAD,BEV30_34,70082
2010,STAD,BEV30_34,70641
2011,STAD,BEV30_34,72857
2012,STAD,BEV30_34,74308
2013,STAD,BEV30_34,75192
2014,STAD,BEV30_34,76565
2015,STAD,BEV30_34,78278
2016,STAD,BEV30_34,80023
2017,STAD,BEV30_34,82356
2018,STAD,BEV30_34,84876
2005,STAD,BEV35_39,70484
2006,STAD,BEV35_39,70013
2007,STAD,BEV35_39,68965
2008,STAD,BEV35_39,68286
2009,STAD,BEV35_39,67263
2010,STAD,BEV35_39,66598
2011,STAD,BEV35_39,65156
2012,STAD,BEV35_39,64224
2013,STAD,BEV35_39,64122
2014,STAD,BEV35_39,64363
2015,STAD,BEV35_39,64188
2016,STAD,BEV35_39,65291
2017,STAD,BEV35_39,66212
2018,STAD,BEV35_39,66592
2005,STAD,BEV40_44,64049
2006,STAD,BEV40_44,63535
2007,STAD,BEV40_44,63067
2008,STAD,BEV40_44,61940
2009,STAD,BEV40_44,61371
2010,STAD,BEV40_44,61264
2011,STAD,BEV40_44,61834
2012,STAD,BEV40_44,62126
2013,STAD,BEV40_44,62198
2014,STAD,BEV40_44,61737
2015,STAD,BEV40_44,60845
2016,STAD,BEV40_44,59316
2017,STAD,BEV40_44,57840
2018,STAD,BEV40_44,57152
2005,STAD,BEV40_64,235844
2006,STAD,BEV40_64,238746
2007,STAD,BEV40_64,241455
2008,STAD,BEV40_64,244024
2009,STAD,BEV40_64,247171
2010,STAD,BEV40_64,251348
2011,STAD,BEV40_64,256198
2012,STAD,BEV40_64,257760
2013,STAD,BEV40_64,258988
2014,STAD,BEV40_64,261072
2015,STAD,BEV40_64,263053
2016,STAD,BEV40_64,264253
2017,STAD,BEV40_64,265224
2018,STAD,BEV40_64,265999
2018,STAD,BEV40_64NL,126296
2018,STAD,BEV40_64NL_P,47
2018,STAD,BEV40_64NW,94842
2018,STAD,BEV40_64NW_P,36
2018,STAD,BEV40_64W,44861
2018,STAD,BEV40_64W_P,17
2005,STAD,BEV45_49,53647
2006,STAD,BEV45_49,54791
2007,STAD,BEV45_49,55254
2008,STAD,BEV45_49,56326
2009,STAD,BEV45_49,57040
2010,STAD,BEV45_49,58411
2011,STAD,BEV45_49,58529
2012,STAD,BEV45_49,58609
